Chunk	Job Name	Queue	Run	CHSY	SYPD	ASYPD	JPSY	Energy	Footprint
1	a3df_19900101_fc0_1_SIM	00:00:31	02:17:20	30,762.67	3.50	3.48	0	0	0
2	a3df_19900101_fc0_2_SIM	00:00:33	02:39:02	35,623.47	3.02	3.01	0	0	0
3	a3df_19900101_fc0_3_SIM	00:00:18	02:29:26	33,473.07	3.21	3.21	0	0	0
4	a3df_19900101_fc0_4_SIM	00:06:04	02:26:29	32,812.27	3.28	3.15	0	0	0
5	a3df_19900101_fc0_5_SIM	00:01:56	02:19:14	31,188.27	3.45	3.40	0	0	0
6	a3df_19900101_fc0_6_SIM	00:01:11	02:34:34	34,622.93	3.11	3.08	0	0	0
7	a3df_19900101_fc0_7_SIM	00:00:32	02:21:51	31,774.40	3.38	3.37	0	0	0
8	a3df_19900101_fc0_8_SIM	00:01:56	02:19:32	31,255.47	3.44	3.39	0	0	0
9	a3df_19900101_fc0_9_SIM	00:01:24	02:22:39	31,953.60	3.36	3.33	0	0	0
10	a3df_19900101_fc0_10_SIM	00:01:00	02:31:11	33,865.07	3.17	3.15	0	0	0
11	a3df_19900101_fc0_11_SIM	00:00:37	02:19:36	31,270.40	3.44	3.42	0	0	0
12	a3df_19900101_fc0_12_SIM	00:00:58	02:28:16	33,211.73	3.24	3.22	0	0	0
13	a3df_19900101_fc0_13_SIM	00:00:53	02:08:07	28,698.13	3.75	3.72	0	0	0
14	a3df_19900101_fc0_14_SIM	00:01:48	02:09:08	28,925.87	3.72	3.67	0	0	0
15	a3df_19900101_fc0_15_SIM	00:08:11	02:05:34	28,126.93	3.82	3.59	0	0	0
16	a3df_19900101_fc0_16_SIM	00:01:15	02:20:44	31,524.27	3.41	3.38	0	0	0
17	a3df_19900101_fc0_17_SIM	00:00:30	02:08:07	28,698.13	3.75	3.73	0	0	0
18	a3df_19900101_fc0_18_SIM	00:02:13	02:02:28	27,432.53	3.92	3.85	0	0	0
19	a3df_19900101_fc0_19_SIM	00:00:08	02:08:36	28,806.40	3.73	3.73	0	0	0
20	a3df_19900101_fc0_20_SIM	00:02:01	02:18:43	31,072.53	3.46	3.41	0	0	0
21	a3df_19900101_fc0_21_SIM	00:02:28	01:51:51	25,054.40	4.29	4.20	0	0	0
