Chunk	Job Name	Queue	Run	CHSY	SYPD	ASYPD	JPSY	Energy	Footprint
1	a3bo_19900101_fc0_1_SIM	00:02:17	02:19:09	31,169.60	3.45	3.39	0	0	0
2	a3bo_19900101_fc0_2_SIM	00:00:35	02:30:38	33,741.87	3.19	3.17	0	0	0
3	a3bo_19900101_fc0_3_SIM	00:02:03	02:28:08	33,181.87	3.24	3.20	0	0	0
4	a3bo_19900101_fc0_4_SIM	00:02:36	02:17:37	30,826.13	3.49	3.42	0	0	0
5	a3bo_19900101_fc0_5_SIM	00:00:31	02:30:11	33,641.07	3.20	3.19	0	0	0
6	a3bo_19900101_fc0_6_SIM	00:01:36	02:31:44	33,988.27	3.16	3.13	0	0	0
7	a3bo_19900101_fc0_7_SIM	00:00:35	02:23:05	32,050.67	3.35	3.34	0	0	0
8	a3bo_19900101_fc0_8_SIM	00:00:51	02:12:10	29,605.33	3.63	3.61	0	0	0
9	a3bo_19900101_fc0_9_SIM	00:01:24	02:12:29	29,676.27	3.62	3.59	0	0	0
10	a3bo_19900101_fc0_10_SIM	00:00:36	02:03:01	27,555.73	3.90	3.88	0	0	0
11	a3bo_19900101_fc0_11_SIM	00:01:20	02:07:42	28,604.80	3.76	3.72	0	0	0
12	a3bo_19900101_fc0_12_SIM	00:00:05	02:03:25	27,645.33	3.89	3.89	0	0	0
13	a3bo_19900101_fc0_13_SIM	00:00:54	02:07:12	28,492.80	3.77	3.75	0	0	0
14	a3bo_19900101_fc0_14_SIM	00:00:08	02:11:20	29,418.67	3.65	3.65	0	0	0
15	a3bo_19900101_fc0_15_SIM	00:00:05	02:08:45	28,840.00	3.73	3.73	0	0	0
16	a3bo_19900101_fc0_16_SIM	00:00:34	02:01:37	27,242.13	3.95	3.93	0	0	0
17	a3bo_19900101_fc0_17_SIM	00:02:00	02:08:20	28,746.67	3.74	3.68	0	0	0
18	a3bo_19900101_fc0_18_SIM	00:00:13	02:13:41	29,945.07	3.59	3.58	0	0	0
19	a3bo_19900101_fc0_19_SIM	00:01:45	02:05:08	28,029.87	3.84	3.78	0	0	0
20	a3bo_19900101_fc0_20_SIM	00:01:37	02:09:13	28,944.53	3.71	3.67	0	0	0
21	a3bo_19900101_fc0_21_SIM	00:01:53	02:07:34	28,574.93	3.76	3.71	0	0	0
22	a3bo_19900101_fc0_22_SIM	00:01:10	02:01:21	27,182.40	3.96	3.92	0	0	0
23	a3bo_19900101_fc0_23_SIM	00:01:07	02:11:48	29,523.20	3.64	3.61	0	0	0
24	a3bo_19900101_fc0_24_SIM	00:00:56	02:07:15	28,504.00	3.77	3.74	0	0	0
25	a3bo_19900101_fc0_25_SIM	00:00:23	02:10:21	29,198.40	3.68	3.67	0	0	0
26	a3bo_19900101_fc0_26_SIM	00:00:10	02:04:16	27,835.73	3.86	3.86	0	0	0
27	a3bo_19900101_fc0_27_SIM	00:00:06	02:11:27	29,444.80	3.65	3.65	0	0	0
28	a3bo_19900101_fc0_28_SIM	00:00:16	02:05:04	28,014.93	3.84	3.83	0	0	0
29	a3bo_19900101_fc0_29_SIM	00:00:38	02:11:17	29,407.47	3.66	3.64	0	0	0
30	a3bo_19900101_fc0_30_SIM	00:00:07	02:14:39	30,161.60	3.56	3.56	0	0	0
31	a3bo_19900101_fc0_31_SIM	00:00:19	02:10:30	29,232.00	3.68	3.67	0	0	0
32	a3bo_19900101_fc0_32_SIM	00:00:11	02:06:33	28,347.20	3.79	3.79	0	0	0
33	a3bo_19900101_fc0_33_SIM	00:04:01	02:24:09	32,289.60	3.33	3.24	0	0	0
34	a3bo_19900101_fc0_34_SIM	03:28:07	02:17:47	30,863.47	3.48	1.39	0	0	0
35	a3bo_19900101_fc0_35_SIM	00:00:12	02:16:18	30,531.20	3.52	3.52	0	0	0
36	a3bo_19900101_fc0_36_SIM	00:03:58	02:10:23	29,205.87	3.68	3.57	0	0	0
37	a3bo_19900101_fc0_37_SIM	00:04:00	02:10:31	29,235.73	3.68	3.57	0	0	0
38	a3bo_19900101_fc0_38_SIM	00:00:07	02:12:51	29,758.40	3.61	3.61	0	0	0
39	a3bo_19900101_fc0_39_SIM	00:00:18	02:11:16	29,403.73	3.66	3.65	0	0	0
40	a3bo_19900101_fc0_40_SIM	00:00:12	02:11:42	29,500.80	3.64	3.64	0	0	0
41	a3bo_19900101_fc0_41_SIM	00:00:26	02:14:10	30,053.33	3.58	3.57	0	0	0
42	a3bo_19900101_fc0_42_SIM	00:05:06	02:15:52	30,434.13	3.53	3.41	0	0	0
43	a3bo_19900101_fc0_43_SIM	00:28:04	03:02:38	40,909.87	2.63	2.28	0	0	0
44	a3bo_19900101_fc0_44_SIM	00:03:45	02:55:02	39,207.47	2.74	2.68	0	0	0
45	a3bo_19900101_fc0_45_SIM	00:01:15	02:17:18	30,755.20	3.50	3.46	0	0	0
46	a3bo_19900101_fc0_46_SIM	00:03:11	02:21:28	31,688.53	3.39	3.32	0	0	0
47	a3bo_19900101_fc0_47_SIM	00:02:21	02:27:51	33,118.40	3.25	3.20	0	0	0
48	a3bo_19900101_fc0_48_SIM	00:47:45	02:20:31	31,475.73	3.42	2.55	0	0	0
49	a3bo_19900101_fc0_49_SIM	00:03:43	02:16:53	30,661.87	3.51	3.41	0	0	0
50	a3bo_19900101_fc0_50_SIM	00:02:51	02:19:07	31,162.13	3.45	3.38	0	0	0
51	a3bo_19900101_fc0_51_SIM	00:00:41	02:15:50	30,426.67	3.53	3.52	0	0	0
52	a3bo_19900101_fc0_52_SIM	00:02:38	02:17:24	30,777.60	3.49	3.43	0	0	0
53	a3bo_19900101_fc0_53_SIM	00:00:36	02:19:55	31,341.33	3.43	3.42	0	0	0
54	a3bo_19900101_fc0_54_SIM	00:04:20	02:15:14	30,292.27	3.55	3.44	0	0	0
55	a3bo_19900101_fc0_55_SIM	00:01:13	02:26:02	32,711.47	3.29	3.26	0	0	0
56	a3bo_19900101_fc0_56_SIM	00:02:43	02:18:51	31,102.40	3.46	3.39	0	0	0
57	a3bo_19900101_fc0_57_SIM	00:00:40	02:20:33	31,483.20	3.42	3.40	0	0	0
58	a3bo_19900101_fc0_58_SIM	00:00:56	02:15:53	30,437.87	3.53	3.51	0	0	0
59	a3bo_19900101_fc0_59_SIM	00:35:24	02:24:13	32,304.53	3.33	2.67	0	0	0
60	a3bo_19900101_fc0_60_SIM	00:02:09	02:19:45	31,304.00	3.43	3.38	0	0	0
61	a3bo_19900101_fc0_61_SIM	00:00:08	02:21:31	31,699.73	3.39	3.39	0	0	0
62	a3bo_19900101_fc0_62_SIM	00:00:15	02:26:06	32,726.40	3.29	3.28	0	0	0
63	a3bo_19900101_fc0_63_SIM	00:00:06	02:33:22	34,354.13	3.13	3.13	0	0	0
